dB20(VF("/net16")) X,dB20(VF("/net16")) Y
53.70317963702501,26.30225942052965
54.95408738576219,26.30225942182185
56.23413251903463,26.30225942306019
57.54399373371541,26.30225942424672
58.88436553555861,26.30225942538346
60.25595860743547,26.30225942647234
61.65950018614791,26.30225942751524
63.09573444801901,26.30225942851396
64.56542290346522,26.30225942947026
66.06934480075925,26.30225943038585
67.60829753919782,26.30225943126234
69.18309709189329,26.30225943210133
70.79457843841342,26.30225943290432
72.44359600749863,26.30225943367278
74.13102413009136,26.30225943440815
75.85775750291798,26.30225943511175
77.62471166286876,26.30225943578493
79.43282347242773,26.30225943642893
81.28305161640949,26.30225943704497
83.17637711026666,26.30225943763421
85.11380382023719,26.30225943819778
87.0963589956076,26.30225943873676
89.12509381337408,26.30225943925218
91.20108393559049,26.30225943974505
93.32543007969861,26.30225944021631
