phase(VF("/net021")) X,phase(VF("/net021")) Y
23.98832919019481,-8.912665094011835e-05
24.5470891568502,-9.008554351092759e-05
25.1188643150957,-9.107526171775691e-05
25.70395782768853,-9.209710077040329e-05
26.30267991895371,-9.315235108662637e-05
26.91534803926904,-9.424229833983215e-05
27.54228703338154,-9.536822365203108e-05
28.18382931264442,-9.653140392252268e-05
28.84031503126593,-9.773311228259287e-05
29.51209226666373,-9.897461866647442e-05
30.19951720402003,-0.0001002571904888996
30.90295432513577,-0.0001015820934197474
31.62277660168365,-0.0001029505922465537
32.35936569296268,-0.0001043639518159822
33.11311214825896,-0.0001058234380457465
33.8844156139201,-0.00010733031899891
34.67368504525301,-0.0001088858660129613
35.48133892335738,-0.0001104913548765588
36.30780547700997,-0.0001121480670473503
37.15352290971708,-0.0001138572909047904
38.01893963205595,-0.000115620323032398
